query,stock_name,stock_code,pass_count,error,created_at
LS마린솔루션,LS마린솔루션,60370.0,4,,2025-05-05 06:26:58
원익QnC,원익QnC,74600.0,0,,2025-05-05 06:29:06
031820,아이티센씨티에스,31820.0,5,,2025-05-05 06:30:22
큐브엔터,큐브엔터,182360.0,8,,2025-05-05 06:31:19
제룡전기,제룡전기,33100.0,0,,2025-05-05 06:32:32
우리기술투자,우리기술투자,41190.0,1,,2025-05-05 06:33:30
우리기술투자,우리기술투자,41190.0,1,,2025-05-05 06:33:32
HD현대일렉트릭,HD현대일렉트릭,267260.0,4,,2025-05-05 06:34:23
풍산,풍산,103140.0,4,,2025-05-05 06:34:44
일진전기,일진전기,103590.0,5,,2025-05-05 06:35:34
일진전기,일진전기,103590.0,5,,2025-05-05 06:35:35
일진전기,일진전기,103590.0,5,,2025-05-05 06:35:37
ISC,ISC,95340.0,1,,2025-05-05 06:36:31
마이크로컨텍솔,마이크로컨텍솔,98120.0,8,,2025-05-05 06:37:20
오스테오닉,오스테오닉,226400.0,7,,2025-05-05 06:38:20
오스테오닉,오스테오닉,226400.0,7,,2025-05-05 06:38:21
케이에스피,케이에스피,73010.0,3,,2025-05-05 06:39:16
케이에스피,케이에스피,73010.0,3,,2025-05-05 06:39:24
한미반도체,한미반도체,42700.0,0,,2025-05-05 06:40:12
한미반도체,한미반도체,42700.0,0,,2025-05-05 06:40:13
한미반도체,한미반도체,42700.0,0,,2025-05-05 06:40:14
피에스케이홀딩스,피에스케이홀딩스,31980.0,0,,2025-05-05 06:40:52
현대코퍼레이션,현대코퍼레이션,11760.0,7,,2025-05-05 06:41:27
아이디스,아이디스,143160.0,5,,2025-05-05 06:42:22
아이디스,아이디스,143160.0,5,,2025-05-05 06:42:24
유니트론텍,유니트론텍,142210.0,6,,2025-05-05 06:43:27
네오오토,네오오토,212560.0,3,,2025-05-05 06:45:19
아이패밀리에스씨,아이패밀리에스씨,114840.0,2,,2025-05-05 06:45:48
태경비케이,태경비케이,14580.0,3,,2025-05-05 06:46:09
코리아에프티,코리아에프티,123410.0,0,,2025-05-05 06:46:30
메리츠금융지주,메리츠금융지주,138040.0,8,,2025-05-05 06:46:53
메리츠금융지주,메리츠금융지주,138040.0,8,,2025-05-05 06:46:54
SNT다이내믹스,SNT다이내믹스,3570.0,8,,2025-05-05 06:47:48
파마리서치,파마리서치,214450.0,8,,2025-05-05 06:48:41
구영테크,구영테크,53270.0,2,,2025-05-05 06:49:25
삼목에스폼,삼목에스폼,18310.0,4,,2025-05-05 06:50:14
삼목에스폼,삼목에스폼,18310.0,4,,2025-05-05 06:50:15
기아,기아,270.0,0,,2025-05-05 06:50:36
하이닉스,이닉스,452400.0,0,,2025-05-05 07:28:04
삼성전자,삼성전자,5930.0,0,,2025-05-05 08:19:06
화승코퍼레이션,화승코퍼레이션,13520.0,5,,2025-05-05 08:20:27
메디톡스,메디톡스,86900.0,6,,2025-05-05 08:20:43
한ㅇ솨오션,,,0,종목을 찾을 수 없습니다. 정확히 입력하거나 자동완성에서 선택해 주세요.,2025-05-05 08:41:44
한화오션,한화오션,42660.0,8,,2025-05-05 08:41:53
005930,삼성전자,5930.0,0,,2025-05-05 09:32:21
005930,삼성전자,5930.0,0,,2025-05-05 09:32:22
아이패밀리에스씨,아이패밀리에스씨,114840.0,2,,2025-05-05 11:08:16
005930,삼성전자,5930.0,0,,2025-05-05 13:36:53
005930,삼성전자,5930.0,0,,2025-05-05 13:36:56
